;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
CUP;5;6;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1732.0;0.6610334495104829
CUP;5;6;SANCHEZ;SSE;LOCAL_GENERALIZATION;1732.0;0.9172630713111669
CUP;5;7;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1902.0;0.696714535842289
CUP;5;7;SANCHEZ;SSE;LOCAL_GENERALIZATION;1902.0;0.9212849022764169
CUP;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2688.0;0.7294304874429559
CUP;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;2688.0;0.9394511397934209
FARS;2;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3290.0;0.8903328418943071
FARS;2;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;3290.0;0.8941059820944146
FARS;3;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3139.0;0.8252722983132996
FARS;3;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;3139.0;0.8513575143580461
FARS;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3141.0;0.7460585624795859
FARS;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;3141.0;0.8043296258191299
FARS;10;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3078.0;0.6500927794756326
FARS;10;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;3078.0;0.7507390474843493
FARS;5;1;SANCHEZ;LOSS;LOCAL_GENERALIZATION;582.0;0.9999614721173713
FARS;5;1;SANCHEZ;SSE;LOCAL_GENERALIZATION;582.0;0.9999459360554132
FARS;5;2;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1016.0;0.9953573006047635
FARS;5;2;SANCHEZ;SSE;LOCAL_GENERALIZATION;1016.0;0.9965423928565104
FARS;5;3;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1346.0;0.9714534571962575
FARS;5;3;SANCHEZ;SSE;LOCAL_GENERALIZATION;1346.0;0.9813828943829415
FARS;5;4;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1574.0;0.8980619467628562
FARS;5;4;SANCHEZ;SSE;LOCAL_GENERALIZATION;1574.0;0.9316952968836684
FARS;5;5;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1954.0;0.8797716742829487
FARS;5;5;SANCHEZ;SSE;LOCAL_GENERALIZATION;1954.0;0.9160225667038724
FARS;5;6;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2178.0;0.8788338133465071
FARS;5;6;SANCHEZ;SSE;LOCAL_GENERALIZATION;2178.0;0.909349534537571
FARS;5;7;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2744.0;0.7951581575225102
FARS;5;7;SANCHEZ;SSE;LOCAL_GENERALIZATION;2744.0;0.8543141900202154
FARS;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3287.0;0.7460585624795859
FARS;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;3287.0;0.8043296258191299
ATUS;2;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;25023.0;0.9540662852477323
ATUS;2;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;25023.0;0.9595150443310339
ATUS;3;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;23312.0;0.92484425464575
ATUS;3;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;23312.0;0.9405879805811458
ATUS;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;22749.0;0.8856719710884597
ATUS;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;22749.0;0.9176554049081753
ATUS;10;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;24873.0;0.8301401435653577
ATUS;10;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;24873.0;0.8868410913494514
ATUS;5;1;SANCHEZ;LOSS;LOCAL_GENERALIZATION;1394.0;0.9999907279143556
ATUS;5;1;SANCHEZ;SSE;LOCAL_GENERALIZATION;1394.0;0.9999884571166493
ATUS;5;2;SANCHEZ;LOSS;LOCAL_GENERALIZATION;3538.0;0.9994082072491759
ATUS;5;2;SANCHEZ;SSE;LOCAL_GENERALIZATION;3538.0;0.9992682420423891
ATUS;5;3;SANCHEZ;LOSS;LOCAL_GENERALIZATION;6041.0;0.998714195407833
ATUS;5;3;SANCHEZ;SSE;LOCAL_GENERALIZATION;6041.0;0.998244899783611
ATUS;5;4;SANCHEZ;LOSS;LOCAL_GENERALIZATION;7036.0;0.9915150630294384
ATUS;5;4;SANCHEZ;SSE;LOCAL_GENERALIZATION;7036.0;0.9953930028502606
ATUS;5;5;SANCHEZ;LOSS;LOCAL_GENERALIZATION;9842.0;0.9811252167014225
ATUS;5;5;SANCHEZ;SSE;LOCAL_GENERALIZATION;9842.0;0.9879287684109743
ATUS;5;6;SANCHEZ;LOSS;LOCAL_GENERALIZATION;12713.0;0.9673849232416155
ATUS;5;6;SANCHEZ;SSE;LOCAL_GENERALIZATION;12713.0;0.9773850604752138
ATUS;5;7;SANCHEZ;LOSS;LOCAL_GENERALIZATION;14270.0;0.950541251126229
ATUS;5;7;SANCHEZ;SSE;LOCAL_GENERALIZATION;14270.0;0.9669508493157516
ATUS;5;8;SANCHEZ;LOSS;LOCAL_GENERALIZATION;18362.0;0.9059369902998733
ATUS;5;8;SANCHEZ;SSE;LOCAL_GENERALIZATION;18362.0;0.9361490342289439
ATUS;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;22050.0;0.8856719710884597
ATUS;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;22050.0;0.9176554049081753
IHIS;2;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;53399.0;0.8447876521119977
IHIS;2;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;53399.0;0.8795022329123405
IHIS;3;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;51499.0;0.7498206289015907
IHIS;3;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;51499.0;0.827537673348115
IHIS;5;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;52257.0;0.6335646432463599
IHIS;5;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;52257.0;0.7722787039057063
IHIS;10;9;SANCHEZ;LOSS;LOCAL_GENERALIZATION;52767.0;0.4999967684177391
IHIS;10;9;SANCHEZ;SSE;LOCAL_GENERALIZATION;52767.0;0.7144498037087241
IHIS;5;1;SANCHEZ;LOSS;LOCAL_GENERALIZATION;2565.0;0.9999961597670948
IHIS;5;1;SANCHEZ;SSE;LOCAL_GENERALIZATION;2565.0;0.9999949930015818
IHIS;5;2;SANCHEZ;LOSS;LOCAL_GENERALIZATION;4952.0;0.9999499024161908
IHIS;5;2;SANCHEZ;SSE;LOCAL_GENERALIZATION;4952.0;0.9999224188738639
IHIS;5;3;SANCHEZ;LOSS;LOCAL_GENERALIZATION;7840.0;0.999775753672473
IHIS;5;3;SANCHEZ;SSE;LOCAL_GENERALIZATION;7840.0;0.9996689702278057
IHIS;5;4;SANCHEZ;LOSS;LOCAL_GENERALIZATION;18707.0;0.99812446516029
IHIS;5;4;SANCHEZ;SSE;LOCAL_GENERALIZATION;18707.0;0.999000780982951
IHIS;5;5;SANCHEZ;LOSS;LOCAL_GENERALIZATION;29846.0;0.9470702472981852
IHIS;5;5;SANCHEZ;SSE;LOCAL_GENERALIZATION;29846.0;0.9669916533760616
IHIS;5;6;SANCHEZ;LOSS;LOCAL_GENERALIZATION;37794.0;0.9013312905521335
IHIS;5;6;SANCHEZ;SSE;LOCAL_GENERALIZATION;37794.0;0.9385318066874307
