;;;;;;Time;Utility
Dataset;k;QIs;Algorithm;Quality;Transformation;Value;Value
ATUS;2;9;ARX;LOSS;LOCAL_GENERALIZATION;17207.0;0.9892508163100839
ATUS;2;9;ARX;SSE;LOCAL_GENERALIZATION;17207.0;0.984118348893644
ATUS;3;9;ARX;SSE;LOCAL_GENERALIZATION;26692.0;0.9765864704282451
ATUS;3;9;ARX;LOSS;LOCAL_GENERALIZATION;26692.0;0.9836114166520465
ATUS;5;9;ARX;LOSS;LOCAL_GENERALIZATION;39967.0;0.9744897493080893
ATUS;5;9;ARX;SSE;LOCAL_GENERALIZATION;39967.0;0.9661589272219663
ATUS;10;9;ARX;LOSS;LOCAL_GENERALIZATION;67454.0;0.9611501756150436
ATUS;10;9;ARX;SSE;LOCAL_GENERALIZATION;67454.0;0.9522173128054094
ATUS;5;1;ARX;SSE;LOCAL_GENERALIZATION;1185.0;1.0
ATUS;5;1;ARX;LOSS;LOCAL_GENERALIZATION;1185.0;1.0
ATUS;5;2;ARX;SSE;LOCAL_GENERALIZATION;1263.0;1.0
ATUS;5;2;ARX;LOSS;LOCAL_GENERALIZATION;1263.0;1.0
ATUS;5;3;ARX;SSE;LOCAL_GENERALIZATION;1373.0;1.0
ATUS;5;3;ARX;LOSS;LOCAL_GENERALIZATION;1373.0;1.0
ATUS;5;4;ARX;LOSS;LOCAL_GENERALIZATION;1669.0;0.9950001184469537
ATUS;5;4;ARX;SSE;LOCAL_GENERALIZATION;1669.0;0.9942703044381246
ATUS;5;5;ARX;LOSS;LOCAL_GENERALIZATION;2433.0;0.9953865654419715
ATUS;5;5;ARX;SSE;LOCAL_GENERALIZATION;2433.0;0.994390992535402
ATUS;5;6;ARX;SSE;LOCAL_GENERALIZATION;3058.0;0.9924173946124308
ATUS;5;6;ARX;LOSS;LOCAL_GENERALIZATION;3058.0;0.9927706453509632
ATUS;5;7;ARX;LOSS;LOCAL_GENERALIZATION;5101.0;0.9868749929330546
ATUS;5;7;ARX;SSE;LOCAL_GENERALIZATION;5101.0;0.9823771173499067
ATUS;5;8;ARX;SSE;LOCAL_GENERALIZATION;15132.0;0.9699870593850444
ATUS;5;8;ARX;LOSS;LOCAL_GENERALIZATION;15132.0;0.978676675927351
ATUS;5;9;ARX;LOSS;LOCAL_GENERALIZATION;40076.0;0.9744897493080893
ATUS;5;9;ARX;SSE;LOCAL_GENERALIZATION;40076.0;0.9661589272219663
IHIS;2;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;66908.0;0.9681488594857888
IHIS;2;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;66908.0;0.9723095785077933
IHIS;3;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;119044.0;0.9585202633822891
IHIS;3;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;119044.0;0.9525358687333004
IHIS;5;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;212175.0;0.9374661032447248
IHIS;5;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;212175.0;0.9430420205331878
IHIS;10;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;382654.0;0.9232880850938233
IHIS;10;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;382654.0;0.9192120336671263
IHIS;5;1;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1732.0;1.0
IHIS;5;1;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1732.0;1.0
IHIS;5;2;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1763.0;1.0
IHIS;5;2;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1763.0;1.0
IHIS;5;3;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1857.0;1.0
IHIS;5;3;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1857.0;1.0
IHIS;5;4;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2106.0;0.999667680208864
IHIS;5;4;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2106.0;0.9993649362442987
IHIS;5;5;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2964.0;0.9955758966052594
IHIS;5;5;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2964.0;0.9934685425083961
IHIS;5;6;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;5366.0;0.9849467907968841
IHIS;5;6;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;5366.0;0.9882307710625937
IHIS;5;7;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;9609.0;0.9852592124432019
IHIS;5;7;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;9609.0;0.9810062163225973
IHIS;5;8;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;28767.0;0.9752659978393122
IHIS;5;8;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;28767.0;0.9731592005521884
IHIS;5;9;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;209946.0;0.9374661032447248
IHIS;5;9;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;209946.0;0.9430420205331878
IHIS;2;9;ARX;LOSS;LOCAL_GENERALIZATION;116969.0;0.985003323051112
IHIS;2;9;ARX;SSE;LOCAL_GENERALIZATION;116969.0;0.9783318007730514
IHIS;3;9;ARX;LOSS;LOCAL_GENERALIZATION;193644.0;0.9737732928342017
IHIS;3;9;ARX;SSE;LOCAL_GENERALIZATION;193644.0;0.9650988777340047
IHIS;5;9;ARX;LOSS;LOCAL_GENERALIZATION;306730.0;0.9578534002223468
IHIS;5;9;ARX;SSE;LOCAL_GENERALIZATION;306730.0;0.948977211293777
IHIS;10;9;ARX;SSE;LOCAL_GENERALIZATION;511746.0;0.9292411714033039
IHIS;10;9;ARX;LOSS;LOCAL_GENERALIZATION;511746.0;0.9365582911745596
IHIS;5;1;ARX;SSE;LOCAL_GENERALIZATION;1825.0;1.0
IHIS;5;1;ARX;LOSS;LOCAL_GENERALIZATION;1825.0;1.0
IHIS;5;2;ARX;SSE;LOCAL_GENERALIZATION;1950.0;1.0
IHIS;5;2;ARX;LOSS;LOCAL_GENERALIZATION;1950.0;1.0
IHIS;5;3;ARX;SSE;LOCAL_GENERALIZATION;2152.0;1.0
IHIS;5;3;ARX;LOSS;LOCAL_GENERALIZATION;2152.0;1.0
IHIS;5;4;ARX;LOSS;LOCAL_GENERALIZATION;2340.0;0.999865199097224
IHIS;5;4;ARX;SSE;LOCAL_GENERALIZATION;2340.0;0.9997994725398338
IHIS;5;5;ARX;SSE;LOCAL_GENERALIZATION;5226.0;0.9965227470458257
IHIS;5;5;ARX;LOSS;LOCAL_GENERALIZATION;5226.0;0.9967245743395489
IHIS;5;6;ARX;SSE;LOCAL_GENERALIZATION;7816.0;0.9914480041819261
IHIS;5;6;ARX;LOSS;LOCAL_GENERALIZATION;7816.0;0.9909823522683192
IHIS;5;7;ARX;SSE;LOCAL_GENERALIZATION;19250.0;0.9866393041736592
IHIS;5;7;ARX;LOSS;LOCAL_GENERALIZATION;19250.0;0.9884030150136218
IHIS;5;8;ARX;SSE;LOCAL_GENERALIZATION;48750.0;0.9781602349030729
IHIS;5;8;ARX;LOSS;LOCAL_GENERALIZATION;48750.0;0.9812778619678549
IHIS;5;9;ARX;LOSS;LOCAL_GENERALIZATION;307353.0;0.9578534002223468
IHIS;5;9;ARX;SSE;LOCAL_GENERALIZATION;307353.0;0.948977211293777
SS13ACS;2;30;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1457749.0;0.9045128578654137
SS13ACS;2;30;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1457749.0;0.9391835405904584
SS13ACS;3;30;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1708539.0;0.9193745511348494
SS13ACS;3;30;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1708539.0;0.8850261042307989
SS13ACS;5;30;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1845578.0;0.8544305835636871
SS13ACS;5;30;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1845578.0;0.8965744439660166
SS13ACS;10;30;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1894351.0;0.8654430477676737
SS13ACS;10;30;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1894351.0;0.8200797658714976
SS13ACS;5;1;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;655.0;1.0
SS13ACS;5;1;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;655.0;1.0
SS13ACS;5;5;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;873.0;0.9900047895271503
SS13ACS;5;5;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;873.0;0.9945706956570062
SS13ACS;5;10;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;2028.0;0.9893017219645545
SS13ACS;5;10;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;2028.0;0.9741310351028235
SS13ACS;5;15;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;85427.0;0.9751726107052339
SS13ACS;5;15;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;85427.0;0.9420456412112442
SS13ACS;5;20;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;681581.0;0.9398817472194628
SS13ACS;5;20;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;681581.0;0.9470416596914581
SS13ACS;5;25;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1502596.0;0.9175469522739332
SS13ACS;5;25;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1502596.0;0.8829355770122986
SS13ACS;5;30;ARX;LOSS;MULTI_DIMENSIONAL_GENERALIZATION;1849709.0;0.8969350064735402
SS13ACS;5;30;ARX;SSE;MULTI_DIMENSIONAL_GENERALIZATION;1849709.0;0.8553238526129169
